filename,skills,description,min_degree_level
Full-stack Developer.txt,"['web development', 'programming languages', 'frameworks', 'operations research', 'python', 'communications', 'collaboration']","Full-stack Developer

Job Description: A full-stack developer is responsible for designing and developing both the front-end and back-end of web applications. They use a variety of programming languages and frameworks to create efficient and scalable web systems. Requirements: Bachelor's degree in Computer Science or related field, at least 3 years of experience in full-stack development, proficiency in front-end languages such as HTML, CSS, and JavaScript, proficiency in back-end languages such as Java, Python, or PHP, experience with full-stack frameworks such as MEAN or MERN, strong problem-solving and analytical skills, excellent communication and collaboration skills.",Bachelor's
Data Analyst.txt,"['business', 'r', 'operations research', 'python', 'data analysis', 'data visualization', 'communications', 'collaboration']","Data Analyst

Job Description: A data analyst is responsible for collecting, analyzing, and interpreting large datasets to provide insights that support business decisions. They use statistical analysis tools such as R or Python to analyze data and create visualizations that communicate key findings. Requirements: Bachelor's degree in Mathematics, Statistics, Computer Science or related field, at least 2 years of experience in data analysis, proficiency in statistical analysis tools such as R or Python, experience in data visualization tools such as Tableau, excellent problem-solving and analytical skills, strong communication and collaboration skills.",Bachelor's
Cybersecurity Analyst.txt,"['computer security', 'security', 'operations research', 'communications', 'collaboration']","Cybersecurity Analyst

Job Description: A cybersecurity analyst is responsible for protecting computer systems and networks from cyber threats. They identify and prevent security breaches, monitor networks for suspicious activity, and develop and implement security policies and procedures. Requirements: Bachelor's degree in Computer Science or related field, at least 2 years of experience in cybersecurity, proficiency in security tools such as Nessus or Metasploit, experience in threat analysis and incident response, excellent problem-solving and analytical skills, strong communication and collaboration skills.
",Bachelor's
IT Project Manager.txt,"['monitoring', 'operations research', 'project management', 'communications', 'collaboration']","IT Project Manager

Job Description: An IT project manager is responsible for planning, executing, and monitoring IT projects from start to finish. They work closely with stakeholders to define project requirements, create project plans, and manage project budgets and timelines. Requirements: Bachelor's degree in Business Administration or related field, at least 5 years of experience in IT project management, experience with project management tools such as Jira or Trello, excellent organizational and time management skills, strong communication and collaboration skills.",Bachelor's
Technical Writer.txt,"['documentation', 'software', 'communications', 'operations research', 'collaboration']","Technical Writer

Job Description: A technical writer is responsible for creating technical documentation such as user manuals, software guides, and technical specifications. They work closely with software developers and product managers to ensure accurate and clear documentation. Requirements: Bachelor's degree in English, Communications, or related field, at least 2 years of experience in technical writing, excellent writing and editing skills, experience with technical documentation tools such as Adobe Framemaker or MadCap Flare, strong problem-solving and analytical skills, excellent communication and collaboration skills.",Bachelor's
Database Administrator.txt,"['database', 'security', 'operations research', 'communications', 'collaboration']","Database Administrator

Job Description: A database administrator is responsible for managing and maintaining databases, ensuring data accuracy, and implementing data security protocols. They also troubleshoot database issues and optimize database performance. Requirements: Bachelor's degree in Computer Science or related field, at least 2 years of experience in database administration, proficiency in database management tools such as SQL Server or Oracle, experience in data security and backup protocols, excellent problem-solving and analytical skills, strong communication and collaboration skills.",Bachelor's
Systems Administrator.txt,"['software', 'operations research', 'operating system', 'communications', 'collaboration']","Systems Administrator

Job Description: A systems administrator is responsible for managing and maintaining computer systems and networks. They install and configure hardware and software, monitor system performance, and troubleshoot system issues. Requirements: Bachelor's degree in Computer Science or related field, at least 3 years of experience in systems administration, proficiency in operating systems such as Windows or Linux, experience with virtualization technologies such as VMware or Hyper-V, excellent problem-solving and analytical skills, strong communication and collaboration skills.",Bachelor's
UIUX Designer.txt,"['web development', 'design', 'operations research', 'wireframing', 'user interface', 'testing', 'communications', 'collaboration']","UI/UX Designer

Job Description: A UI/UX designer is responsible for creating intuitive and visually appealing user interfaces for websites and web applications. They use design tools such as Sketch or Adobe XD to create wireframes, prototypes, and user interface designs. Requirements: Bachelor's degree in Graphic Design or related field, at least 2 years of experience in UI/UX design, proficiency in design tools such as Sketch or Adobe XD, experience with user research and usability testing, strong problem-solving and analytical skills, excellent communication and collaboration skills.",Bachelor's
Cloud Engineer.txt,"['operations research', 'azure', 'engineering', 'code', 'communications', 'collaboration']","Cloud Engineer

Job Description: A cloud engineer is responsible for designing, building, and maintaining cloud-based infrastructure and applications. They work with cloud platforms such as AWS or Azure to create scalable, secure, and cost-effective solutions. Requirements: Bachelor's degree in Computer Science or related field, at least 3 years of experience in cloud engineering, proficiency in cloud platforms such as AWS or Azure, experience in infrastructure as code tools such as Terraform or CloudFormation, strong problem-solving and analytical skills, excellent communication and collaboration skills.",Bachelor's
Back-end Developer.txt,"['server', 'web development', 'programming languages', 'python', 'operations research', 'frameworks', 'communications', 'collaboration']","Back-end Developer

Job Description: A back-end developer is responsible for designing and developing the server-side of web applications. They use programming languages such as Java, Python, or PHP to create efficient and scalable back-end systems. Requirements: Bachelor's degree in Computer Science or related field, at least 3 years of experience in back-end development, proficiency in programming languages such as Java, Python, or PHP, experience with back-end frameworks such as Spring or Django, strong problem-solving and analytical skills, excellent communication and collaboration skills.",Bachelor's
Machine Learning Engineer.txt,"['machine learning', 'algorithm', 'modelling', 'business', 'software engineering', 'deployment', 'operations research', 'engineering', 'cpp', 'frameworks', 'data processing', 'numpy', 'azure', 'communications', 'collaboration']","Machine Learning Engineer

Job Description: The Machine Learning Engineer will be responsible for designing, developing, and implementing machine learning algorithms and models to solve business problems. They will work closely with data scientists and software engineers to develop and deploy scalable and efficient machine learning systems. The Machine Learning Engineer will also be responsible for maintaining and improving existing machine learning models, as well as conducting research to identify new machine learning technologies and techniques. Requirements: Bachelor's degree in Computer Science, Mathematics, or related field. Master's or PhD preferred. 3+ years of experience in machine learning engineering. Strong programming skills in Python, Java, or C++. Experience with machine learning frameworks such as TensorFlow, PyTorch, or Keras. Experience with data processing and analysis tools such as Pandas, NumPy, or Scikit-Learn. Familiarity with cloud computing platforms such as AWS, Azure, or GCP. Excellent problem-solving and analytical skills. Strong communication and collaboration skills. Experience with Agile development methodologies preferred.",Bachelor's
Network Administrator.txt,"['computer network', 'operations research', 'network management', 'network security', 'communications', 'collaboration']","Network Administrator

Job Description: A network administrator is responsible for managing and maintaining computer networks. They ensure that network systems are running smoothly and securely, troubleshoot network issues, and implement new network technologies. Requirements: Bachelor's degree in Computer Science or related field, at least 2 years of experience in network administration, proficiency in network management tools such as Cisco or Juniper, experience in network security and firewalls, excellent problem-solving and analytical skills, strong communication and collaboration skills.",Bachelor's
Front-end Developer.txt,"['user interface', 'web development', 'programming languages', 'operations research', 'frameworks', 'communications', 'collaboration']","Front-end Developer

Job Description: A front-end developer is responsible for designing and developing the user interface of websites and web applications. They use programming languages such as HTML, CSS, and JavaScript to create responsive and visually appealing web pages. Requirements: Bachelor's degree in Computer Science or related field, at least 2 years of experience in front-end development, proficiency in HTML, CSS, and JavaScript, experience with front-end frameworks such as React or Angular, strong problem-solving and analytical skills, excellent communication and collaboration skills.",Bachelor's
DevOps Engineer.txt,"['software', 'testing', 'deployment', 'operations research', 'continuous integration', 'code', 'communications', 'collaboration']","DevOps Engineer

Job Description: A DevOps engineer is responsible for automating software development, testing, and deployment processes. They use tools such as Jenkins, Docker, or Kubernetes to create a continuous integration and delivery pipeline. Requirements: Bachelor's degree in Computer Science or related field, at least 3 years of experience in DevOps, proficiency in DevOps tools such as Jenkins, Docker, or Kubernetes, experience in infrastructure as code tools such as Terraform or CloudFormation, excellent problem-solving and analytical skills, strong communication and collaboration skills.",Bachelor's
Software Engineer.txt,"['software engineering', 'testing', 'software', 'programming languages', 'python', 'operations research', 'cpp', 'design', 'communications', 'collaboration']","Software Engineer

Job Description: A software engineer is responsible for designing, developing, testing, and maintaining software applications. They use programming languages such as Java, Python, or C++ to create applications that meet customer needs. They also collaborate with other departments to ensure successful project completion. Requirements: Bachelor's degree in Computer Science or related field, at least 3 years of experience in software development, proficiency in programming languages such as Java, Python, or C++, experience in software design and development methodologies, strong problem-solving and analytical skills, excellent communication and collaboration skills.",Bachelor's
